# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\SpriteMario.png	68	145	190
1	textures\SpriteMarioRight.png	68	145	190
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
11	textures\enemiesRight.png	3	26	110
40	textures\Miscc.png	166	185	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#################### BIG MARIO ##########################
# idle right
10001	505	93	521	120	1
# walk
10002	487	93	503	120	1		
10003	469	93	485	120	1
#Slip
10004	195	92	211	120	0
#Jump
10005	433	93	449	120	1
#Bend over
10006	453	102	467	120	1
#Max speed running
10007	412	93	431	120	1
10008	386	93	405	120	1
10009	360	93	379	120	1
#Max speed Jump
10010	334	93	353	120	1
# idle left
10011	1	93	17	120	0
#walk
10012	19	93	35	120	0
10013	37	93	53	120	0
#Slip
10014	311	92	327	120	1
#Jump
10015	73	93	89	120	0
#bend over
10016	55	102	69	120	0
#Max Speed running
10017	91	93	110	120	0
10018	117	93	136	120	0
10019	143	93	162	120	0
#Max Speed Jump
10020	169	93	188	120	0
# die 
10099	3	128	23	149	0
#################  SMALL MARIO  ###########################
# idle small right
10021	505	16	521	32	1
# walk
10022	487	16	503	32	1
10023	469	16	485	32	1
# idle small left
1 	1	16	17	32	0
# walk
10032	19	16	35	32	0
10033	37	16	53	32	0
################ RACCOON MARIO  ########################
# idle #########   RIGHT    ###########
10041	500	350	521	378	1
# walk
10042	473	350	495	378	1			
10043	446	350	469	378	1
#Jump
10044	394	350	417	378	1
#Kill
10045	99	311	122	339	1
10046	142	350	165	378	1
10047	395	315	425	343	0
10048	98	350	121	378	1
#Drop
10100	367	350	391	378	1
#Prepare Fly
10101	315	350	339	378	1
10102	289	350	313	378	1
10103	263	350	287	378	1
#Fly
10105	237	350	261	378	1
10106	211	350	235	378	1
10107	185	350	209	378	1
#Slow Drop
10110	367	346	391	378	1
10111	341	346	365	378	1
#Slip
10112	167	348	183	378	1
#bend over
10113	421	360	443	378	1
#catch idle
10115	500	384	521	412	1
#catch walking
10116	473	384	495	412	1
10117	446	384	469	412	1
#kick
10118	419	384	441	412	1
# idle #########    LEFT   #############
10051	1	350	22	378	0
#walk
10052	27	350	49	378	0
10053	53	350	76	378	0
#Jump
10054	105	350	129	378	0
#Kill
10055	395	315	425	343	0
10056	374	350	397	378	0
10057	99	311	120	339	1
10058	418	350	441	378	0
#Slow Drop
10060	157	350	179	378	0
10061	131	350	154	378	0	
#Slip
10062	339	348	355	378	0
#bend over
10063	79	360	101	378	0
#catch idle
10165	1	384	22	412	0
#catch walking
10166	27	384	49	412	0
10167	53	384	76	412	0
#kick
10168	81	384	103	412	0
#Drop
10170	131	350	154	378	0
####################   FIRE MARIO   #################################
#idle ###########   right   ###################
10500	507	265	521	292	1
#Walk
10501	487	265	503	292	1
10502	469	265	485	292	1
#Jump
10505	433	265	449	292	1
#Attack
10506	281	299	295	326	1
10507	299	299	313	326	1
#slip
10508	311	264	327	292	1
#bend over
10509	453	274	468	292	1
#Max speed running
10510	412	265	431	292	1
10511	386	265	405	292	1
10512	360	265	379	292	1
#Max speed Jump
10513	334	265	353	292	1
#idle ############   left    #################
10600	1	265	15	292	0
#Walk
10601	19	265	35	292	0
10602	37	265	53	292	0
#Jump
10605	73	265	89	292	0
#Attack
10606	227	299	241	326	0
10607	209	299	223	326	0
#slip
10608	195	264	211	292	0
#bend over
10609	55	274	69	292	0
#Max speed running
10610	91	265	110	292	0
10611	117	265	136	292	0
10612	143	265	162	292	0
#max speed jump
10613	169	265	188	292	0
####################     BRICK    ####################################
20001	274	188	290	204	40
20002	293	188	309	204	40
20003	312	188	328	204	40
20004	331	188	347	204	40
####################    GOOMBA     ####################################
30001	9	11	25	27	10
30002	32	11	48	27	10
#die
30003	54	18	70	27	10
#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20
#####################     FIRE BULLET   ###############################
50001	245	306	253	314	0
50002	255	305	263	314	0
50003	265	306	273	314	0
50004	275	306	283	314	0
#bullet explode
50005	415	19	431	35	0
50006	435	21	447	33	0
50007	453	21	465	33	0
50008	471	21	483	33	0
#####################     line        ##################################		
1	1	1	2	17	1		
######################     KOOPA Troopas	#########################
#walk right
60001	280	67	296	93	11
60002	261	67	277	93	11
#Shell
60005	235	75	253	91	11
#shell rotatory
60006	279	97	295	112	11
60007	258	96	274	112	11
60008	237	96	253	112	11
60009	50	96	66	112	10
#walk left
60011	28	67	44	93	10
60012	47	67	63	93	10
#shell
60015	71	75	89	91	10
#shell rotatory
60016	279	97	295	112	11
60017	50	96	66	112	10
60018	237	96	253	112	11
60019	258	96	274	112	11
#Shell tail attack
60021	293	95	311	111	10
#rotatory, prepare live 21, 24
60022	271	96	287	112	10
60023	250	96	266	112	10
60024	229	95	245	111	10
60025	205	96	221	112	10
###################    Fire Piranha plant #######################
#right top
61000	301	71	317	103	11
#right bot
61001	301	33	317	65	11
#left top
61002	7	71	23	103	10
#left bot
61003	7	33	23	65	10
########################    question brick    #########################
70000	157	188	173	204	40
70001	176	188	192	204	40
70002	196	188	212	204	40
70003	215	188	231	204	40
## brick without question
70004	235	188	251	204	40
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
1	1	100
# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#idle raccoon right
404	10041	100
#idle raccoon left
405	10051	100
#walk right big
500	10001	100	10002	100	10003	100	10002	100
#walk left big
501	10011	100	10012	100	10013	100	10012	100
#walk right small
502	10021	100	10022	100	10023	100	10022	100
#walk left small
503	10031	100	10032	100	10033	100	10032	100
#walk right raccoon
504	10041	100	10042	100	10043	100	10042	100
#walk left raccoon
505	10051	100	10052	100	10053	100	10052	100
#Jump right raccoon
506	10044	1000
#Jump left raccoon
507	10054	1000
#Kill right raccoon
508	10045	100	10046	100	10047	100	10048	100	10045	100
#10047	2000	10048	1000	10045	500
#Kill left raccoon
509	10055	100	10056	100	10057	100	10058	100	10055	100
#	10057	50	10058	150	10059	50	10055	50
#Drop right raccoon
510	10100	100
#Drop left Raccoon
511	10170	100
#Prepare fly right raccoon
512	10101	100	10102	100	10103	100
#Fly	right	raccoon
514	10105	100	10106	100	10107	100
#Drop slow right
516	10110	75	10111	75
#Drop slow left
517	10060	75	10061	75
#SLIP BIG right
518	10004	100
#SLIP BIG LEFT
519	10014	100
#Jump MARIO BIG right
520	10005	100
#Jump MARIO BIG left
521	10015	100
#SLip Raccoon Right
522	10112	100
#slip raccoon left
523	10062	100
#bend over right Big
524	10006	100
bend over left Big
525	10016	100
#bend over right raccoon
526	10113	100
#bend over left raccoon
527	10063	100
#Catch idle right raccoon
528	10115	100
#Catch walking right raccoon
529	10116	100	10115	100	10117	100
#Catch idle left raccoon
530	10165	100
#Catch walking left raccoon
531	10166	100	10165	100	10167	100
#Max speed running BIG RIGHT
532	10007	100	10008	100	10009	100
#Max speed running BIG LEFT
533	10017	100	10018	100	10019	100
#Max speed jump BIG RIGHT
534	10010	100
#Max speed jump BIG LEFT
535	10020	100
#kick right RACCOON
536	10118	100
#kick left RACCOON
537	10168	100
################   FIRE MARIO   #################
#Idle right
1000	10500	100
#Walk
1001	10501	100	10502	100	10501	100	10500	100
#jump	
1002	10505	100
